date; time,air temperature,water temperature,level tank,level 1,level 2,humidity,pH voltage,pH,tds
02/11/2022; 18:13:51,21.2,20.75,337.0,327.0,183.0,16.0,1.98,7.25,452.37
02/11/2022; 18:14:08,21.2,20.75,257.0,257.0,139.0,16.0,0.0,0.33,0.0
02/11/2022; 18:14:14,21.2,20.75,275.0,273.0,138.0,16.0,0.05,0.51,0.0
02/11/2022; 18:14:21,21.2,20.75,274.0,271.0,149.0,16.0,0.1,0.69,0.0
02/11/2022; 18:14:27,21.2,20.75,275.0,272.0,146.0,16.0,0.16,0.88,0.0
02/11/2022; 18:14:33,21.2,20.75,274.0,273.0,147.0,16.0,0.21,1.06,0.0
02/11/2022; 18:14:39,21.2,20.75,273.0,273.0,145.0,16.0,0.26,1.24,0.0
02/11/2022; 18:14:45,21.2,20.75,276.0,274.0,147.0,16.0,0.31,1.42,0.0
02/11/2022; 18:14:51,21.2,20.75,276.0,273.0,148.0,16.0,0.36,1.6,0.0
02/11/2022; 18:14:57,21.2,20.75,276.0,273.0,149.0,16.0,0.42,1.79,0.0
02/11/2022; 18:15:04,21.2,20.75,274.0,271.0,150.0,16.0,0.47,1.97,0.0
02/11/2022; 18:15:10,21.2,20.75,276.0,273.0,151.0,16.0,0.52,2.15,0.0
02/11/2022; 18:15:16,21.2,20.75,275.0,272.0,151.0,16.0,0.57,2.33,0.0
02/11/2022; 18:15:22,21.2,20.75,273.0,273.0,152.0,16.0,0.62,2.51,0.0
02/11/2022; 18:15:28,21.2,20.75,274.0,271.0,148.0,16.0,0.68,2.7,0.0
02/11/2022; 18:15:34,21.2,20.75,274.0,272.0,151.0,16.0,0.73,2.88,230.32
02/11/2022; 18:15:40,21.2,20.75,275.0,272.0,151.0,16.0,0.78,3.06,459.02
02/11/2022; 18:15:47,21.2,20.75,272.0,271.0,150.0,16.0,0.83,3.24,459.02
02/11/2022; 18:15:53,21.2,20.75,272.0,271.0,150.0,16.0,0.88,3.42,461.25
02/11/2022; 18:15:59,21.2,20.75,272.0,271.0,133.0,16.0,0.94,3.6,461.25
02/11/2022; 18:16:05,21.1,20.75,271.0,269.0,145.0,16.0,0.99,3.79,461.25
02/11/2022; 18:16:11,21.2,20.75,271.0,270.0,148.0,16.0,1.04,3.97,461.25
02/11/2022; 18:16:17,21.2,20.75,272.0,270.0,141.0,16.0,1.09,4.15,461.25
02/11/2022; 18:16:24,21.1,20.75,273.0,273.0,142.0,16.0,1.14,4.33,461.25
02/11/2022; 18:16:30,21.3,20.75,273.0,271.0,144.0,16.0,1.2,4.51,461.25
02/11/2022; 18:16:36,21.3,20.75,271.0,270.0,140.0,16.0,1.25,4.7,461.25
02/11/2022; 18:16:42,21.2,20.75,271.0,270.0,141.0,16.0,1.3,4.88,461.25
02/11/2022; 18:16:48,21.2,20.75,272.0,270.0,140.0,16.0,1.35,5.06,461.25
02/11/2022; 18:16:54,21.2,20.75,271.0,271.0,142.0,16.0,1.4,5.24,461.25
02/11/2022; 18:17:01,21.2,20.75,272.0,271.0,144.0,16.0,1.46,5.43,461.25
02/11/2022; 18:17:07,21.2,20.75,272.0,271.0,143.0,16.0,1.51,5.61,461.25
02/11/2022; 18:17:13,21.2,20.75,270.0,269.0,147.0,16.0,1.56,5.79,461.25
02/11/2022; 18:17:19,21.2,20.75,270.0,269.0,148.0,16.0,1.61,5.97,461.25
02/11/2022; 18:17:25,21.2,20.75,271.0,270.0,141.0,16.0,1.66,6.15,461.25
02/11/2022; 18:17:31,21.2,20.75,270.0,268.0,139.0,16.0,1.72,6.33,461.25
02/11/2022; 18:17:38,21.2,20.75,271.0,270.0,147.0,16.0,1.77,6.52,461.25
02/11/2022; 18:17:44,21.2,20.75,272.0,269.0,148.0,16.0,1.82,6.7,461.25
02/11/2022; 18:17:50,21.2,20.75,270.0,268.0,146.0,16.0,1.87,6.88,461.25
02/11/2022; 18:17:56,21.2,20.75,271.0,269.0,146.0,16.0,1.92,7.06,461.25
02/11/2022; 18:18:02,21.2,20.75,269.0,268.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:08,21.2,20.75,270.0,268.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:15,21.2,20.75,270.0,269.0,148.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:21,21.1,20.75,269.0,268.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:27,21.2,20.75,269.0,268.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:33,21.2,20.75,269.0,268.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:39,21.2,20.75,269.0,269.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:45,21.2,20.75,270.0,269.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:52,21.2,20.75,269.0,268.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:18:58,21.2,20.75,270.0,270.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:04,21.1,20.75,269.0,268.0,148.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:10,21.2,20.75,269.0,269.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:16,21.1,20.75,270.0,269.0,147.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:22,21.2,20.75,268.0,268.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:28,21.2,20.75,269.0,268.0,147.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:35,21.1,20.75,269.0,267.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:41,21.1,20.75,269.0,269.0,147.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:47,21.1,20.75,268.0,268.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:19:53,21.1,20.75,270.0,270.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:00,21.1,20.75,270.0,268.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:05,21.1,20.75,268.0,268.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:12,21.2,20.75,267.0,267.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:18,21.1,20.75,268.0,267.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:24,21.2,20.75,269.0,268.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:30,21.1,20.75,267.0,266.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:36,21.1,20.75,269.0,268.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:42,21.1,20.75,268.0,268.0,147.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:49,21.1,20.75,268.0,267.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:20:55,21.1,20.75,267.0,266.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:01,21.1,20.75,267.0,268.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:07,21.1,20.75,267.0,266.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:13,21.2,20.75,268.0,267.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:19,21.1,20.75,268.0,267.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:26,21.2,20.81,268.0,267.0,147.0,16.0,1.98,7.25,460.54
02/11/2022; 18:21:32,21.1,20.75,268.0,268.0,148.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:38,21.1,20.75,267.0,266.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:21:44,21.1,20.75,267.0,267.0,145.0,17.0,1.98,7.25,461.25
02/11/2022; 18:21:50,21.1,20.75,267.0,268.0,145.0,17.0,1.98,7.25,461.25
02/11/2022; 18:21:56,21.1,20.75,268.0,266.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:22:02,21.1,20.75,267.0,267.0,146.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:09,21.1,20.75,267.0,266.0,145.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:15,21.1,20.75,265.0,265.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:22:21,21.2,20.75,266.0,265.0,143.0,16.0,1.98,7.25,461.25
02/11/2022; 18:22:27,21.1,20.75,267.0,267.0,133.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:33,21.1,20.75,268.0,268.0,134.0,16.0,1.98,7.25,461.25
02/11/2022; 18:22:40,21.1,20.75,265.0,266.0,139.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:46,21.1,20.75,266.0,266.0,139.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:52,21.1,20.75,267.0,266.0,137.0,17.0,1.98,7.25,461.25
02/11/2022; 18:22:58,21.1,20.75,267.0,267.0,137.0,17.0,1.98,7.25,461.25
02/11/2022; 18:23:04,21.1,20.75,265.0,266.0,139.0,17.0,1.98,7.25,461.25
02/11/2022; 18:23:10,21.1,20.75,265.0,265.0,135.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:16,21.1,20.75,266.0,265.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:23,21.1,20.75,266.0,266.0,145.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:29,21.1,20.75,266.0,266.0,127.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:35,21.1,20.75,266.0,266.0,134.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:41,21.1,20.75,267.0,266.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:47,21.1,20.75,266.0,265.0,134.0,16.0,1.98,7.25,461.25
02/11/2022; 18:23:53,21.1,20.81,266.0,265.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:24:00,21.1,20.75,266.0,265.0,137.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:06,21.1,20.75,265.0,265.0,135.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:12,21.1,20.75,267.0,267.0,143.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:18,21.1,20.81,264.0,264.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:24:24,21.1,20.75,266.0,265.0,132.0,16.0,1.98,7.25,461.25
